Name,March_score,kWAR_score,AHP_score,P1,P2,P3,연차,20연봉,FA유무
이대호,293.568,0.0,3.229,44.080342989353184,-23.658180577827643,17.793260382995193,19,12.429216196844383,1
박병호,1802.46,0.0,19.827,57.48685671077971,-30.31461735413179,23.609110118804125,15,12.206072645530174,0
양의지,5769.28,721.16,266.829,56.48621638052198,-30.76535235546873,27.10927516731458,14,12.206072645530174,1
손아섭,2626.675,210.134,37.824,45.43030914205765,-24.846866018100517,26.04698961765522,13,12.206072645530174,1
최형우,700.0,70.0,12.6,55.288175595311024,-29.76274615330721,22.411729547990696,18,11.918390573078392,1
김현수,2080.985,166.4,34.539,52.57447523770782,-28.79055609339454,24.451176169275566,14,11.77528972943772,1
이재원,8278.032,1034.754,382.859,34.60487873948991,-18.40661055633739,15.118652730528533,14,11.77528972943772,1
최정,4409.072,661.361,136.681,64.83420161631022,-35.11143594525693,30.251609270485904,15,11.695247021764184,1
황재균,4123.564,602.866,127.589,45.71299023546544,-24.76679534646338,27.54047848477797,14,11.695247021764184,1
김재호,6814.244,778.771,213.188,35.632994250964806,-18.898718804208126,16.579734951347877,16,11.082142548877775,1
김재환,2020.0,202.0,36.36,48.914707726944265,-26.194889218534144,23.431351824015103,12,11.082142548877775,0
오지환,7560.567,864.065,236.538,39.72014031346456,-21.2640823268995,25.372650198000937,11,11.002099841204238,0
김하성,6602.337,785.83,206.309,65.79949670561834,-36.445377475527614,43.25300708179156,6,10.915088464214607,0
박민우,5475.29,547.529,113.156,51.08961007786372,-28.21834370129691,21.647888214949287,8,10.858998997563564,0
김태균,444.427,0.0,4.889,39.83539369193187,-21.339187915389868,18.736006709051487,19,10.819778284410283,1
이성열,1254.114,75.194,16.991,39.673388393823096,-20.844659130359616,24.04797035610748,17,10.819778284410283,0
유한준,934.671,74.774,13.459,50.41026654433292,-27.64559735235164,23.62676606086596,20,10.819778284410283,1
전준우,2318.764,232.726,41.806,55.37030671034626,-30.328577982387717,30.49510790447776,12,10.819778284410283,0
허경민,4211.04,631.056,130.41799999999998,39.79789620060957,-21.724129837133063,19.90478191264778,11,10.778956289890028,0
오재일,2079.648,0.0,22.876,50.54149500366849,-27.06170595729342,23.034961508374167,15,10.757902880692196,0
김선빈,6169.599,698.688,188.25600000000003,34.462510905013595,-18.7140002747497,16.067057560892124,12,10.714417768752456,0
박건우,2530.037,209.003,37.346,51.585889039802,-28.239206837745936,28.200552188955573,11,10.714417768752456,0
박경수,5807.588,580.759,120.023,30.867782300478712,-15.847415919488336,12.48245968496761,17,10.596634733096073,1
이정후,2884.098,290.201,50.647,60.16920168041228,-33.6435718639998,29.752922188929297,3,10.571316925111784,0
김강민,3279.183,374.764,62.773,31.13036608879075,-16.502390168495634,19.605565924243525,19,10.46310334047155,0
서건창,2822.508,282.251,58.332,41.04083074882088,-22.31943037805523,18.772257273564215,12,10.46310334047155,0
정수빈,3508.902,401.017,67.17,36.03001056637625,-19.293149647898208,14.40815211334012,11,10.4341158035983,0
채은성,2193.667,175.493,31.589,44.39507010682698,-24.107934168132225,20.174437274786257,11,10.373491181781864,0
박해민,4025.088,456.506,76.802,36.12766507445674,-19.450843260551306,20.258167200913764,8,10.308952660644293,0
이원석,2722.952,406.843,83.914,35.11284284957635,-18.254853406273934,16.642763670114253,15,10.308952660644293,1
이천웅,3690.13,420.339,70.483,47.17522554022783,-25.918054961752,21.458005128679662,9,10.239959789157341,0
구자욱,2156.243,172.499,31.05,43.218230086697766,-23.26460213587617,26.199875610224243,8,10.239959789157341,0
한동민,1889.178,151.134,27.204,39.06732478498719,-20.6440453673862,15.744656126056135,8,10.126631103850338,0
송광민,3697.304,554.596,114.616,26.389181810183228,-13.845829230884323,15.630317961318656,18,10.126631103850338,1
김상수,5856.714,585.671,121.039,39.580522478385646,-21.50365345711568,21.382685298735872,11,10.126631103850338,1
이명기,2553.98,244.788,43.043,39.35936437768987,-21.46429965945224,18.10490271402623,14,10.085809109330082,0
박세혁,8496.2,1062.025,392.949,38.859154040682746,-20.979160942375508,19.20156294838484,8,10.0519075576544,0
유강남,7684.667,960.583,355.416,33.582368348759296,-17.448420169044024,13.495158078573011,9,10.043249494911286,0
강백호,1549.2720000000002,127.421,23.109,52.65042647165141,-28.70184249852022,28.423198273773448,2,9.95227771670556,0
김성현,7637.428,872.849,238.942,23.02225519840898,-12.176535094578348,10.123612891829698,14,9.95227771670556,0
이형종,1883.255,182.842,32.126000000000005,41.01377720395677,-21.894734706517163,22.150405671101435,12,9.903487552536127,0
최재훈,8124.09,1015.511,375.739,34.59631556037166,-18.505416895549946,15.70901119733418,12,9.903487552536127,0
김헌곤,2023.5,204.6,36.563,34.57847351170758,-18.72969412188278,18.180525985623262,9,9.852194258148577,0
고종욱,1022.057,102.206,18.397,42.60027940654189,-23.207024250079773,20.808728815071017,9,9.740968623038354,0
정은원,7027.212,702.721,145.229,41.6142034455555,-22.510505291414745,23.910153301934088,2,9.392661928770137,0
박찬호,5649.993,734.27,171.659,31.19619842421358,-16.686634060480845,15.11952463926666,6,9.259130536145614,0
오선진,6659.623,760.8430000000001,207.194,22.26817513151173,-11.477989337417805,11.651460312326154,12,9.259130536145614,0
김민혁,2060.053,215.58900000000003,37.846,32.39562919687654,-17.47143146566822,12.876232755051744,6,9.104979856318357,0
이창진,3594.452,406.937,69.22,34.183177154115064,-18.03749789204698,18.3827479408258,6,9.047821442478408,0
