Name,March_score,kWAR_score,AHP_score,P1,P2,P3,연차,20연봉,FA유무
이대호,293.568,0.0,3.229,0.4307573178249632,0.2720236973307545,-0.353360324964378,19,250000,1
박병호,1802.46,0.0,19.827,6.306763062199963,21.729560660736404,-0.6961177346060509,15,200000,0
양의지,5769.28,721.16,266.829,7.044258668416556,26.164837495755545,-1.5745772441116124,14,200000,1
손아섭,2626.675,210.134,37.824,0.12942978500885183,1.1467109675840153,0.8408590883550502,13,200000,1
최형우,700.0,70.0,12.6,4.532161508995328,15.243647068595516,-1.2667699162345372,18,150000,1
김현수,2080.985,166.4,34.539,1.767736307964225,5.360830722142811,0.29136384658308695,14,130000,1
이재원,8278.032,1034.754,382.859,-2.301788015304668,-8.76496092096972,0.021842442609817908,14,130000,1
최정,4409.072,661.361,136.681,5.85653132914414,19.862659956797508,0.5148292192882412,15,120000,1
황재균,4123.564,602.866,127.589,1.691382727776311,7.077431102724364,1.576224756489467,14,120000,1
김재호,6814.244,778.771,213.188,-1.155096778260239,-3.573125946693905,-1.0279724387321847,16,65000,1
김재환,2020.0,202.0,36.36,1.4128877512884976,4.66227549267654,0.22310282523497085,12,65000,0
오지환,7560.567,864.065,236.538,-0.9094326772746448,-1.9376289607488437,1.7049224470386029,11,60000,0
김하성,6602.337,785.83,206.309,5.433821873055301,21.132923591759475,3.338280701469053,6,55000,0
박민우,5475.29,547.529,113.156,2.220851201855862,7.174075665727641,-1.5748949940607657,8,52000,0
김태균,444.427,0.0,4.889,-0.06412974431764706,0.5773085265696862,-1.4775570281332189,19,50000,1
이성열,1254.114,75.194,16.991,0.9508234654394838,5.260133171632556,1.1001387081087504,17,50000,0
유한준,934.671,74.774,13.459,1.842587382736326,5.988663331439113,-0.28744057101019266,20,50000,1
전준우,2318.764,232.726,41.806,2.780888382068116,9.850218023725793,1.7939753885189846,12,50000,0
허경민,4211.04,631.056,130.41799999999998,-1.6280724801326407,-6.245554601457244,0.3186669452740364,11,48000,0
오재일,2079.648,0.0,22.876,3.1615740841697297,11.302079371071917,-0.2626868251736727,15,47000,0
김선빈,6169.599,698.688,188.25600000000003,-1.8137853302290754,-5.952186088041589,-0.8694826206359196,12,45000,0
박건우,2530.037,209.003,37.346,3.1560768280791205,11.913265239608402,0.3011983769645415,11,45000,0
박경수,5807.588,580.759,120.023,-2.568189089402949,-9.046320810281017,-0.7864813590413103,17,40000,1
이정후,2884.098,290.201,50.647,3.117965069753361,10.159325910987844,0.590682751701086,3,39000,0
김강민,3279.183,374.764,62.773,-2.963303372415544,-8.623651113158408,0.4195378336029601,19,35000,0
서건창,2822.508,282.251,58.332,-0.26882272694650716,-0.8178054312610469,-0.9209326519620049,12,35000,0
정수빈,3508.902,401.017,67.17,-2.3078632073824887,-9.060846205495272,-0.7819515014126244,11,34000,0
채은성,2193.667,175.493,31.589,0.30904666227739375,0.8390575400841016,-0.5835625621392027,11,32000,0
박해민,4025.088,456.506,76.802,-3.220607999392416,-11.909586396381744,1.7173107641115808,8,30000,0
이원석,2722.952,406.843,83.914,-0.7331403021090088,-2.313842679727377,0.46327533885300193,15,30000,1
이천웅,3690.13,420.339,70.483,9.92657933134855e-05,-0.8221729410145464,-0.5981665619317355,9,28000,0
구자욱,2156.243,172.499,31.05,0.3168764902843365,2.078144831143056,2.0110835137371708,8,28000,0
한동민,1889.178,151.134,27.204,-0.10627352612682857,-0.4297432785522407,-1.4102327191109536,8,25000,0
송광민,3697.304,554.596,114.616,-4.875297538729226,-16.323529053303467,0.6092707433877216,18,25000,1
김상수,5856.714,585.671,121.039,-1.391933437687375,-4.805905708509418,0.5070672607671401,11,25000,1
이명기,2553.98,244.788,43.043,-1.7199283080345384,-6.6275002969994175,-0.5062539510388248,14,24000,0
박세혁,8496.2,1062.025,392.949,-1.0819425379880805,-3.730044900302839,0.07377452522645107,8,23200,0
유강남,7684.667,960.583,355.416,-1.1331541679858212,-3.972995050608919,-0.7735000520598532,9,23000,0
강백호,1549.2720000000002,127.421,23.109,4.573053864489366,18.110035787369643,-0.8530909414431443,2,21000,0
김성현,7637.428,872.849,238.942,-6.448933621466279,-23.239082818359375,-0.008872683336137208,14,21000,0
이형종,1883.255,182.842,32.126000000000005,0.601363000974368,3.2214108173167713,0.15905442436309356,12,20000,0
최재훈,8124.09,1015.511,375.739,-0.9768968939069473,-2.4686572918134635,-2.0805117673652007,12,20000,0
김헌곤,2023.5,204.6,36.563,-1.5312175900099922,-4.6351836468300185,-0.485249935608732,9,19000,0
고종욱,1022.057,102.206,18.397,-0.07874530991969235,0.21407495292539225,-0.5455313830041121,9,17000,0
정은원,7027.212,702.721,145.229,-1.8672106198011795,-6.870047810503511,1.9914691705797942,2,12000,0
박찬호,5649.993,734.27,171.659,-4.667521261178687,-17.234932957756055,0.6649676124172825,6,10500,0
오선진,6659.623,760.8430000000001,207.194,-6.544657615378411,-22.59287387540043,0.09248907715771452,12,10500,0
김민혁,2060.053,215.58900000000003,37.846,-4.1252231649265605,-15.648064311083832,-0.9629543186303098,6,9000,0
이창진,3594.452,406.937,69.22,-1.1537687132874659,-2.5198882781085965,-0.6372356760929269,6,8500,0
